Deleting copies...Done
Creating a copy of your module... Done
Loading mutators... Done
Verifying and timing your test suite
Took 7.50 seconds to run full test suite
Running mutants for index.js
MUTANT 78:	RAEM Line 68:	bgBlueBright: [104, 49],	survived 5741 ms
MUTANT 79:	RAEM Line 68:	bgBlueBright: [104, 49],	survived 5744 ms
MUTANT 80:	RAEM Line 69:	bgMagentaBright: [105, 49],	survived 5970 ms
MUTANT 81:	RAEM Line 69:	bgMagentaBright: [105, 49],	survived 5968 ms
MUTANT 82:	RAEM Line 70:	bgCyanBright: [106, 49],	survived 5830 ms
MUTANT 83:	RAEM Line 70:	bgCyanBright: [106, 49],	survived 5788 ms
MUTANT 84:	RAEM Line 71:	bgWhiteBright: [107, 49]	survived 7578 ms
MUTANT 85:	RAEM Line 71:	bgWhiteBright: [107, 49]	survived 5986 ms
MUTANT 86:	RAEM Line 106:	const rgb2rgb = (r, g, b) => [r, g, b];	killed 6016 ms
MUTANT 87:	RAEM Line 106:	const rgb2rgb = (r, g, b) => [r, g, b];	killed 5977 ms
MUTANT 88:	RAEM Line 106:	const rgb2rgb = (r, g, b) => [r, g, b];	killed 3660 ms
MUTANT 89:	RCM Line 132:	if (typeoftrue) colorConvert[key] !== 'object') {	killed 3738 ms
MUTANT 90:	RCM Line 132:	if (typeoffalse) colorConvert[key] !== 'object') {	killed 3704 ms
MUTANT 91:	RCM Line 138:	if (keytrue) === 'ansi16') {	killed 3691 ms
MUTANT 92:	RCM Line 138:	if (keyfalse) === 'ansi16') {	killed 3783 ms
MUTANT 93:	RFCAM Line 2:	const colorConvert = require('color-convert');();	killed 3420 ms
MUTANT 94:	RFCAM Line 5:	const code = fn.apply(colorConvert, arguments);	killed 5923 ms
MUTANT 95:	RFCAM Line 5:	const code = fn.apply(colorConvert, arguments);	killed 6073 ms
MUTANT 96:	RFCAM Line 10:	const code = fn.apply(colorConvert, arguments);	killed 8448 ms
MUTANT 97:	RFCAM Line 10:	const code = fn.apply(colorConvert, arguments);	killed 7655 ms
MUTANT 98:	RFCAM Line 15:	const rgb = fn.apply(colorConvert, arguments);	killed 5873 ms
MUTANT 99:	RFCAM Line 15:	const rgb = fn.apply(colorConvert, arguments);	killed 6077 ms
MUTANT 100:	RFCAM Line 78:	for (const groupName of Object.keys(styles))()) {	killed 5893 ms
MUTANT 101:	RFCAM Line 81:	for (const styleName of Object.keys(group))()) {	killed 5902 ms
MUTANT 102:	RFCAM Line 91:	codes.set(style[0], style[1]);	killed 6438 ms
MUTANT 103:	RFCAM Line 91:	codes.set(style[0], style[1]);	killed 5680 ms
MUTANT 104:	RFCAM Line 94:	Object.defineProperty(styles, groupName, {	killed 6050 ms
MUTANT 105:	RFCAM Line 94:	Object.defineProperty(styles, groupName, {	killed 5757 ms
MUTANT 106:	RFCAM Line 94:	Object.defineProperty(styles, groupNamebject.defineProperty(styles, groupName, {	killed 3253 ms
MUTANT 107:	RFCAM Line 99:	Object.defineProperty(styles, '('codes', {	killed 6091 ms
MUTANT 108:	RFCAM Line 99:	Object.defineProperty(styles, 'codes', {	killed 5960 ms
MUTANT 109:	RFCAM Line 99:	Object.defineProperty(styles, 'codes'bject.defineProperty(styles, 'codes', {	killed 3149 ms
MUTANT 110:	RFCAM Line 112:	ansi: wrapAnsi16(ansi2ansi, 0)	survived 5761 ms
MUTANT 111:	RFCAM Line 112:	ansi: wrapAnsi16(ansi2ansi, 0)	survived 5884 ms
MUTANT 112:	RFCAM Line 115:	ansi256: wrapAnsi256(ansi2ansi, 0)	survived 5699 ms
MUTANT 113:	RFCAM Line 115:	ansi256: wrapAnsi256(ansi2ansi, 0)	survived 6162 ms
MUTANT 114:	RFCAM Line 118:	rgb: wrapAnsi16m(rgb2rgb, 0)	killed 6055 ms
MUTANT 115:	RFCAM Line 118:	rgb: wrapAnsi16m(rgb2rgb, 0)	killed 6293 ms
MUTANT 116:	RFCAM Line 122:	ansi: wrapAnsi16(ansi2ansi, 10)	survived 5920 ms
MUTANT 117:	RFCAM Line 122:	ansi: wrapAnsi16(ansi2ansi, 10)	survived 6014 ms
MUTANT 118:	RFCAM Line 125:	ansi256: wrapAnsi256(ansi2ansi, 10)	survived 7635 ms
MUTANT 119:	RFCAM Line 125:	ansi256: wrapAnsi256(ansi2ansi, 10)	survived 8172 ms
MUTANT 120:	RFCAM Line 128:	rgb: wrapAnsi16m(rgb2rgb, 10)	killed 6758 ms
MUTANT 121:	RFCAM Line 128:	rgb: wrapAnsi16m(rgb2rgb, 10)	killed 8527 ms
MUTANT 122:	RFCAM Line 131:	for (let key of Object.keys(colorConvert))()) {	killed 7605 ms
MUTANT 123:	RFCAM Line 143:	styles.color.ansi[key] = wrapAnsi16(suite.ansi16, 0);	killed 8250 ms
MUTANT 124:	RFCAM Line 143:	styles.color.ansi[key] = wrapAnsi16(suite.ansi16, 0);	killed 10575 ms
MUTANT 125:	RFCAM Line 144:	styles.bgColor.ansi[key] = wrapAnsi16(suite.ansi16, 10);	killed 7581 ms
MUTANT 126:	RFCAM Line 144:	styles.bgColor.ansi[key] = wrapAnsi16(suite.ansi16, 10);	killed 5926 ms
MUTANT 127:	RFCAM Line 148:	styles.color.ansi256[key] = wrapAnsi256(suite.ansi256, 0);	killed 5823 ms
MUTANT 128:	RFCAM Line 148:	styles.color.ansi256[key] = wrapAnsi256(suite.ansi256, 0);	killed 6190 ms
